"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"DeeJay Dallas",2021,"Seahawks","$903,600",780000,79,33,138,4.2,15,0,2,21,23,133,6.3,0,0,17,39.1,2.3,"0.1%"
"DeeJay Dallas",2022,"Seahawks","$1,018,600",895000,79,35,186,5.3,27,1,0,17,19,126,7.4,0,0,15,30.2,2,"0.1%"
"DeeJay Dallas",2023,"Seahawks","$1,133,600",1010000,125,10,36,3.6,8,0,0,6,9,26,4.3,0,2,17,2.2,0.1,"0.1%"
"Deon Jackson",2021,"Colts","$366,667",366667,122,13,31,2.4,10,0,1,0,0,0,0,0,0,5,9.1,1.8,"0.0%"
"Deon Jackson",2022,"Colts","$825,000",825000,60,68,236,3.5,17,0,1,30,34,209,7,1,1,12,54.5,4.5,"0.0%"
"Deon Jackson",2023,"Giants","$84,000",84000,172,14,16,1.1,7,0,0,5,6,14,2.8,0,2,2,-1,-0.5,"0.0%"
"Derrick Gore",2021,"Chiefs","$476,667",476667,68,51,256,5,51,2,2,8,9,105,13.1,0,0,8,48.1,6,"0.0%"
"Derrick Gore",2023,"Commanders","$145,000",145000,124,3,26,8.7,23,1,0,0,0,0,0,0,0,5,2.6,0.5,"0.0%"
"Derrick Henry",2020,"Titans","$6,000,000",1.5e+07,1,378,2027,5.4,94,16,17,19,31,114,6,0,2,16,314.1,19.6,"99.7%"
"Derrick Henry",2021,"Titans","$13,500,000",10500000,14,219,937,4.3,76,3,10,18,20,154,8.6,0,0,8,175.3,21.9,"99.7%"
"Derrick Henry",2022,"Titans","$9,367,647",15441176,3,349,1538,4.4,56,10,13,33,41,398,12.1,0,3,16,269.8,16.9,"99.7%"
"Derrick Henry",2023,"Titans","$16,367,647",10500000,5,280,1167,4.2,69,5,12,28,36,214,7.6,0,0,17,218.7,12.9,"99.7%"
"Deuce Vaughn",2023,"Cowboys","$766,666",866665,109,23,40,1.7,13,0,0,7,7,40,5.7,0,0,7,8,1.1,"1.2%"
"Devin Singletary",2020,"Bills","$933,956",675000,37,156,687,4.4,51,3,2,38,50,269,7.1,0,1,16,105.6,6.6,"63.7%"
"Devin Singletary",2021,"Bills","$1,108,956",850000,19,188,870,4.6,46,6,7,40,50,228,5.7,1,0,17,157.8,9.3,"63.7%"
"Devin Singletary",2022,"Bills","$2,798,956",2540000,25,178,822,4.6,33,5,5,38,52,280,7.4,1,3,17,140.2,8.2,"63.7%"
"Devin Singletary",2023,"Texans","$3,125,000",3125000,29,216,898,4.2,24,3,4,30,38,193,6.4,0,0,17,137.3,8.1,"63.7%"
"Devine Ozigbo",2020,"Jaguars","$586,765",586765,136,1,1,1,1,0,0,9,9,42,4.7,0,0,8,4.3,0.5,"0.0%"
"Devine Ozigbo",2021,"Patriots","$84,022",84022,162,1,-3,-3,0,0,0,1,1,7,7,0,0,2,0.4,0.2,"0.0%"
"Devonta Freeman",2020,"Giants","$1,224,118",1044118,85,54,172,3.2,14,0,1,7,10,58,8.3,0,0,5,29,5.8,"0.0%"
"Devonta Freeman",2021,"Ravens","$802,778",1015278,32,133,576,4.3,32,4,5,34,42,190,5.6,1,0,16,112.6,7,"0.0%"
"Devontae Booker",2020,"Raiders","$887,500",1047500,55,93,423,4.5,43,4,3,17,21,84,4.9,0,0,16,68.7,4.3,"0.0%"
