player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Ameer Abdullah,2020,Vikings,"$887,500",1047500.0,92,8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,22.0,1.4,0.9%,"$887,500",27.0
Ameer Abdullah,2021,Panthers,"$566,667",660000.0,66,51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,51.5,3.0,0.9%,"$566,667",28.0
Ameer Abdullah,2022,Raiders,"$1,047,500",1187500.0,81,4,20,5.0,7,0,0,25,32,211,8.4,1,0,16,29.1,1.8,0.9%,"$1,047,500",29.0
Ameer Abdullah,2023,Raiders,"$1,750,000",1750000.0,84,15,89,5.9,12,0,0,19,24,131,6.9,0,0,17,22.0,1.3,0.9%,"$1,750,000",30.0
Antonio Gibson,2020,Commanders,"$896,843",1757372.0,14,170,795,4.7,40,5,11,36,44,247,6.9,0,2,14,166.2,11.9,25.2%,"$896,843",22.0
Antonio Gibson,2021,Commanders,"$1,121,054",834211.0,10,258,1037,4.0,27,4,7,42,52,294,7.0,3,4,16,187.1,11.7,25.2%,"$1,121,054",23.0
Antonio Gibson,2022,Commanders,"$1,345,265",1058422.0,35,149,546,3.7,20,1,3,46,58,353,7.7,2,0,15,119.9,8.0,25.2%,"$1,345,265",24.0
Antonio Gibson,2023,Commanders,"$3,029,843",2743000.0,45,65,265,4.1,16,0,1,48,59,389,8.1,2,2,16,79.4,5.0,25.2%,"$3,029,843",25.0
Austin Ekeler,2020,Chargers,"$5,000,000",9500000.0,35,116,530,4.6,27,2,1,54,65,403,7.5,2,0,10,111.3,11.1,78.9%,"$5,000,000",25.0
Austin Ekeler,2021,Chargers,"$5,750,000",4250000.0,2,206,911,4.4,28,3,12,70,94,647,9.2,8,3,16,273.8,17.1,78.9%,"$5,750,000",26.0
Austin Ekeler,2022,Chargers,"$7,000,000",5500000.0,4,204,915,4.5,72,4,13,107,127,722,6.7,5,3,17,265.7,15.6,78.9%,"$7,000,000",27.0
Austin Ekeler,2023,Chargers,"$7,750,000",6250000.0,31,179,628,3.5,55,3,5,51,74,436,8.5,1,4,14,134.4,9.6,78.9%,"$7,750,000",28.0
Bijan Robinson,2023,Falcons,"$3,992,462",13719848.0,12,214,976,4.6,38,7,4,58,86,487,8.4,4,3,17,188.3,11.1,99.8%,"$3,992,462",21.0
Boston Scott,2020,Eagles,"$750,000",750000.0,52,80,374,4.7,56,2,1,25,36,212,8.5,1,0,16,70.6,4.4,0.0%,"$750,000",25.0
Boston Scott,2021,Eagles,"$920,000",920000.0,47,87,373,4.3,23,2,7,13,16,83,6.4,0,1,11,85.6,7.8,0.0%,"$920,000",26.0
